number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
141,Eintracht Frankfurt,1. FC Köln,2,4,43,57,17,21,6,9,8,7,3,5,7,10,2,1,12,10,2,4,0,0,10,12,,,9,9,2,3,2,1,,,1,2,,,11,9,6,12,5,4,342,441,228,328,33,30,9,7,11,11,,,58,69,26,27,11,20,13,20,,
164,Borussia M'gladbach,1. FSV Mainz 05,3,1,71,29,15,13,5,9,6,2,4,2,6,3,5,4,7,14,1,3,0,0,14,7,,,7,6,5,1,3,1,2,0,,,,,11,9,4,4,8,2,625,241,514,157,34,23,5,6,17,12,,,61,62,15,20,15,24,7,19,,
145,1. FC Köln,Werder Bremen,1,0,53,47,7,6,1,1,5,3,1,2,1,7,4,1,11,20,1,4,0,0,18,11,,,3,12,2,0,1,0,0,1,,,,,3,2,4,4,1,0,476,401,371,305,30,31,4,6,13,10,,,77,57,25,19,22,17,18,17,,
155,1. FSV Mainz 05,Freiburg,1,2,58,42,24,13,8,5,10,5,6,3,7,5,2,2,15,10,4,2,0,0,10,15,,,6,14,2,3,2,1,,,,,,,14,10,10,3,1,7,458,331,352,231,23,29,11,5,16,5,,,65,60,26,27,14,13,8,15,,
144,1899 Hoffenheim,Borussia Dortmund,2,1,48,52,11,12,3,5,6,4,2,3,0,8,5,2,8,12,0,1,0,0,12,8,,,10,6,2,4,1,3,1,1,0,1,,,7,10,4,2,4,1,552,587,461,502,33,28,4,4,6,8,,,49,35,14,11,17,9,13,7,,
149,RB Leipzig,Augsburg,3,1,74,26,22,6,7,2,13,1,2,3,11,4,7,3,8,10,1,3,0,0,9,7,,,4,13,7,1,5,0,1,0,2,0,,,18,4,4,2,1,3,608,206,526,123,32,18,7,3,24,9,,,70,56,21,12,17,28,14,15,,
158,1899 Hoffenheim,Eintracht Frankfurt,1,2,65,35,12,13,5,3,5,9,2,1,8,6,3,0,10,13,2,2,0,0,13,10,,,6,10,1,3,1,2,0,2,0,3,,,8,8,4,5,1,3,612,329,511,233,34,35,9,7,9,11,,,49,70,18,24,9,26,10,14,,
151,Fortuna Düsseldorf,1. FC Union Berlin,2,1,47,53,22,17,8,6,10,7,4,4,7,5,0,1,12,20,2,4,0,0,18,10,,,10,10,1,2,1,1,0,1,,,,,11,10,11,7,4,6,406,453,316,356,41,29,3,8,11,7,,,70,65,30,27,12,21,8,11,,
153,FC Schalke 04,Borussia M'gladbach,2,0,45,55,15,14,7,5,6,3,2,6,8,8,0,1,15,18,3,4,0,0,17,12,,,6,12,3,2,2,2,,,2,0,,,13,5,2,9,4,5,352,429,254,339,30,31,5,5,18,17,,,82,66,28,16,20,21,13,10,,
156,Augsburg,Borussia Dortmund,3,5,29,71,13,17,5,8,6,6,2,3,2,6,7,2,5,5,0,1,0,0,5,5,,,7,11,2,6,0,3,,,,,,,4,10,9,7,3,2,320,781,226,682,21,34,0,1,4,12,,,28,41,3,10,16,14,11,12,,
